url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/arizeai/jobs/5421310004	2026-06-05	greenhouse-api	Engineering Manager - Product & Platform	Arize AI	added	Remote (United States)
https://jobs.ashbyhq.com/elevenlabs/36bdb528-004b-482c-8924-33b27b76121f	2026-06-05	ashby-api	Forward Deployed Engineer - Software Engineer - Singapore	ElevenLabs	added	Singapore
https://job-boards.greenhouse.io/airtable/jobs/8442397002	2026-06-05	greenhouse-api	Software Engineer, Compute (8+ YOE)	Airtable	added	San Francisco, CA; New York, NY; Remote - US
https://job-boards.greenhouse.io/airtable/jobs/8400388002	2026-06-05	greenhouse-api	Software Engineer, Infrastructure (8+ YOE)	Airtable	added	San Francisco, CA; New York, NY; Remote - US (Seattle, WA only)
https://job-boards.greenhouse.io/airtable/jobs/8397618002	2026-06-05	greenhouse-api	Software Engineer, Product Backend (8+ YOE)	Airtable	added	San Francisco, CA; Remote - US (Seattle, WA only)
https://coreweave.com/careers/job?4652254006&board=coreweave&gh_jid=4652254006	2026-06-05	greenhouse-api	Senior Software Engineer, Core Open-Source- Marimo	Weights & Biases (CoreWeave)	added		Bellevue, WA, Livingston, NJ , New York, NY, San Francisco, CA, Sunnyvale, CA, US - Remote
https://coreweave.com/careers/job?4624132006&board=coreweave&gh_jid=4624132006	2026-06-05	greenhouse-api	Staff Software Engineer, Infrastructure - Marimo	Weights & Biases (CoreWeave)	added	Livingston, NJ / New York, NY / San Francisco, CA/ Sunnyvale, CA / Bellevue, WA / Remote - US
https://jobs.ashbyhq.com/deepgram/0796cc37-96a7-4158-8a00-155962da275a	2026-06-05	ashby-api	Backend Software Engineer - Active Learning Team	Deepgram	added	USA | Remote
https://jobs.ashbyhq.com/deepgram/7c7064bb-2bf0-4f64-81cc-14afe79a15c1	2026-06-05	ashby-api	Backend Software Engineer - Engine Team (Voice Agent)	Deepgram	added	USA | Remote
https://jobs.ashbyhq.com/deepgram/378e83b4-28c0-4b4e-8cf0-9355712bd06d	2026-06-05	ashby-api	Billing & Analytics Software Engineer	Deepgram	added	USA | Remote
https://jobs.ashbyhq.com/deepgram/66aa70a5-7de9-4657-a710-6af3dbb4c262	2026-06-05	ashby-api	Defense / Edge Tech Lead	Deepgram	added	USA | Remote
https://boomi.com/boomi-jobs/?gh_jid=5786933004	2026-06-05	greenhouse-api	Principal Software Engineer - AI 	Boomi	added	Canada
https://boomi.com/boomi-jobs/?gh_jid=5789786004	2026-06-05	greenhouse-api	Senior Principal Software Engineer	Boomi	added	Canada
https://boomi.com/boomi-jobs/?gh_jid=5784409004	2026-06-05	greenhouse-api	Senior Software Engineer	Boomi	added	Canada
https://jobs.ashbyhq.com/cohere/ef9b939d-da66-464c-a878-ef45616c0473	2026-06-05	ashby-api	Software Engineer, GPU Infrastructure (HPC)	Cohere	added	Canada
https://jobs.ashbyhq.com/cohere/8c035d3d-081d-4c8a-914a-72f4efaad254	2026-06-05	ashby-api	Software Engineer Intern (Fall / Winter 2026)	Cohere	added	Canada
https://jobs.ashbyhq.com/pinecone/7ef089cb-a721-4ad8-a6d0-c390e64991d2	2026-06-05	ashby-api	Senior/Staff Software Engineer, Search & Retrieval Infrastructure	Pinecone	added	US Remote
